PRODUCT NAME,Category,MRP Incl. GST,MRP Ex. GST,HSN CODE,TYPRE
NL WITHOUT A POUT 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL SNATCH'D SILVER 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL SUGA COOKIE 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL *VERIFIED* 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL SELF MADE 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
NL GLITERALLY SHIMMER 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
OPI NL SPICE UP YOUR LIFE 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
OPI NL MATERIAL GWORL 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
OPI NL BUTTAFLY 15ML,NAIL PAINT,₹ 850.00,₹ 720.34,33043000,BTL-BOTTLES
KP ME+ 7/7 MEDIUM BLND BRWN 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 7/2 MATT MEDIUM BLND 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP ME+ 7/73 MEDIUM BLND BRWN GLD 60G,Wella Professional,₹ 420.00,₹ 355.93,33059040,TUB-TUBES
KP 10/8 LIGHTEST BLND PRL 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
KP 55/66 INT VLT 60G ,Wella Professional,₹ 390.00,₹ 330.51,33059040,TUB-TUBES
CFC NEW BLUE 60ML ,Wella Professional,₹ 750.00,₹ 635.59,33059040,TUB-TUBES
CFC ULTRA PURPLE 60ML ,Wella Professional,₹ 750.00,₹ 635.59,33059040,TUB-TUBES
SP DIA COLOR SAVE MASK 200ML ,System Professional,"₹ 2,900.00","₹ 2,457.63",33059090,CAN-CANS
SP DIA SMOOTHEN SHP 250ML,System Professional,"₹ 2,100.00","₹ 1,779.66",33051090,BTL-BOTTLES
SP DIA REPAIR SHMP 1000ML  ,System Professional,"₹ 2,800.00","₹ 2,372.88",33051090,BTL-BOTTLES
